Sequence|IMSI|IMEI|Usage Type|MSISDN|Call date|Call time|Duration(sec)|Bytes Rx|Bytes Tx|2nd Party IMSI|2nd Party MSISDN
26|425124020596627|26-03524-6883233|SMS-MO|9720135935699|2020-11-01|20:04:22.609718|0|0|0|425124953315880|9720236635057
27|424027725003936|75-50237-4893633|MOC|9710401248366|2020-11-01|20:04:22.615511|183|0|0|424021424027357|9710480107614
28|425153781124020|72-75086-8762238|SMS-MO|9720589584928|2020-11-01|20:04:22.622286|0|0|0|425157002953493|9720239336258
29|425075468759348|15-84701-9445907|MOC|9720570499483|2020-11-01|20:04:22.627540|798|0|0|425073796092483|9720259197458
30|425163961849490|15-76301-8001025|MTC|9720569911138|2020-11-01|20:04:22.633407|372|0|0|425166050231257|9720436754732
31|425022436007037|71-60900-9309531|SMS-MO|9720860651566|2020-11-01|20:04:22.637508|0|0|0|425026390550541|9720370920596
32|425021912380661|63-72059-5981889|MOC|9720781099253|2020-11-01|20:04:22.641489|348|0|0|425028347731177|9720476382235
33|424021424027357|84-68780-5441246|D|9710480107614|2020-11-01|20:04:22.647346|0|1936201|255506||
34|425028347731177|75-57205-9850305|MTC|9720476382235|2020-11-01|20:04:22.650536|248|0|0|425026198005714|9720075616501
35|424023036197526|19-19535-9156588|SMS-MT|9710926949868|2020-11-01|20:04:22.656240|0|0|0|424020010754695|9710725048558
36|425122467308402|30-48562-2151493|MOC|9720700050703|2020-11-01|20:04:22.658319|337|0|0|425122535687740|9720693494874
37|425053964092319|62-75994-6888547|SMS-MO|9700334941782|2020-11-01|20:04:22.660843|0|0|0|425050448989262|9700584916938
38|425148331264442|92-49499-5807239|SMS-MO|9720328226975|2020-11-01|20:04:22.667441|0|0|0|425145086772573|9720053867175
39|425157002953493|98-76964-2532037|MOC|9720239336258|2020-11-01|20:04:22.671410|709|0|0|425153781124020|9720589584928
40|424038936205189|06-76933-9496002|D|9710571461890|2020-11-01|20:04:22.674554|0|1859429|391871||
41|425057629288258|79-13533-7622561|SMS-MO|9700652351925|2020-11-01|20:04:22.682119|0|0|0|425058160478251|9700781880249
42|425068245225257|20-71965-7400019|MTC|9700841792867|2020-11-01|20:04:22.688573|941|0|0|425068613256865|9700106467895
43|425054351665377|07-61852-2300156|MOC|9700759660725|2020-11-01|20:04:22.692532|463|0|0|425058605101453|9700568172305
44|425073496657283|75-02916-4420834|SMS-MT|9720828765762|2020-11-01|20:04:22.696823|0|0|0|425077463717170|9720875360511
45|425022436007037|71-60900-9309531|SMS-MT|9720860651566|2020-11-01|20:04:22.702500|0|0|0|425021912380661|9720781099253
46|425010625415290|32-60766-2615418|MTC|9720262072829|2020-11-01|20:04:22.710278|1124|0|0|425019947750163|9720292989845
47|425151050410217|68-80914-8375006|D|9720693765857|2020-11-01|20:04:22.715556|0|6853609|435662||
48|425074441937156|59-78878-2098330|MOC|9720560173753|2020-11-01|20:04:22.723273|971|0|0|425079523757826|9720839774595
49|425774953657728|61-09208-4014264|MOC|9720282931852|2020-11-01|20:04:22.729886|661|0|0|425771626737504|9720651849017
